trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,4,-28.646717860726053,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.5246625421065929}",25,0,-104.66028614760486,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.5168513344916993}",20,15,6.281303746423899,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.5091564206075492}",35,19,-60.792985907286855,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.5015760690660556}",25,0,-9.414119528476908,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.4941085742561417}",20,0,-31.81942780484537,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.4867522559599717}",35,26,-5.9405028597534395,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.4795054589748941}",35,8,-10.317598333195695,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.4723665527410147}",30,13,-20.698671683796807,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.4653339309743134}",20,13,-0.06651333117622849,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,0,-89.16650951999219,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.4515812349225923}",35,0,-80.39703158268256,"{0: 27, 1: 1, 2: 6, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.44485806622294116}",20,0,20.581503449522053,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.43823499246494924}",20,6,-12.580665580115271,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,15,2.8046491210241813,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.42528319108227414}",20,6,13.791589876910017,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.418951549247639}",25,0,7.7122877974516335,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.4127141732790497}",20,12,-40.81490574829412,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.40656965974059917}",20,3,1.5451248295031308,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.40051662609081884}",30,9,-16.031949244205354,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.39455371037160114}",25,4,-20.320921756357635,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.38867957090175304}",25,0,-24.443608428701413,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,0,-26.929847115096763,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.37719235356315695}",20,13,11.886896007613112,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.3715766910220457}",25,13,-32.78222905142252,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.3660446348040154}",20,3,15.357955868655493,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,0,30.07911439215437,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.3552263809249515}",30,8,-40.69672357425504,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.3499377491111553}",30,17,-28.331959068377323,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.3447278547672202}",20,2,-18.768610563078806,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,10,-37.57998863664625,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.3345396069486076}",25,16,-16.64218214676915,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.3295589610751891}",30,8,-41.22289346320822,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.32465246735834974}",25,8,4.024373518801925,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.31981902181630395}",20,10,-19.680380991533234,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.3150575369034133}",20,12,16.2902682847662,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,15,-31.791969091247367,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.30574617949871175}",25,19,11.624752241286632,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,0,-87.14899630542084,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.2967100142940453}",25,10,15.599938998093776,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.2922925776808594}",30,17,7.10341162053955,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.2879409081307703}",20,16,6.739980796524769,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,9,-12.599117201775027,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.27943096822140734}",25,15,16.198997863887563,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,10,6.540943114599989,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.2711725350455999}",25,3,-22.2011263869718,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.2671353019658504}",30,11,-63.41314568012889,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.2631581754560287}",20,10,-14.70989130535639,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.25924026064589156}",20,14,9.851542955645174,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.2553806759880777}",20,8,-7.973090920454991,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.2515785530597565}",20,2,18.73943502389611,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.24783303636722875}",30,6,-36.10317116358788,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.2441432831534371}",25,5,-12.436459959506465,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.24050846320834213}",20,13,5.043462147284934,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.23692775868212176}",25,11,15.063364875320936,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.23340036390115138}",20,0,12.644488690457509,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,14,-0.23632538386123203,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.2265023406764688}",20,8,24.68878221513184,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.22313016014842982}",35,19,-5.634366960495932,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.21980818484776174}",30,22,14.68436700988092,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,6,-11.858284685808554,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.21331187122291523}",30,16,23.230902805965048,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,10,18.261291887028822,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.20700755268115265}",20,4,18.927902379458345,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.20392561173421347}",20,12,15.78653857948257,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.20088955491023208}",30,20,20.272790363625,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.1978986990836147}",30,16,-21.322815544920363,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.1949523712991825}",20,1,-26.172220463607438,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.19204990862075413}",30,23,12.035892118701387,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.18919065798198204}",25,11,16.969877648621885,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.18637397603940997}",20,7,10.88921505552401,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.18359922902771791}",35,22,-12.99054625725806,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.1808657926171221}",20,6,-49.70521920298322,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.17817305177289844}",20,8,-23.38239935758879,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.17552040061699686}",20,12,13.01780983804213,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.1729072422917164}",25,11,13.69413055603314,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.17033298882540943}",25,17,-8.015752347569428,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.1677970610001859}",25,20,10.525928150005562,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.16529888822158656}",30,20,6.64890455307704,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.16283790839019696}",30,0,6.850934457402247,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.1604135677751728}",25,16,9.59231879360112,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.1580253208896478}",30,13,21.772240568779882,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.15567263036799733}",30,17,2.554304997327004,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.15335496684492847}",20,14,1.7550069443955352,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.15107180883637086}",25,15,11.8188117307412,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.14882264262214037}",25,3,17.18807129505777,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.14660696213035015}",20,16,8.880694872775898,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.144424268823542}",30,22,-37.94060907376528,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.1422740715865136}",35,20,22.7650456577048,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
